America/Havana,true,-300,GMT-5:00
America/Hermosillo,true,-420,GMT-7:00
America/Indiana/Indianapolis,true,-300,GMT-5:00
America/Indiana/Knox,true,-360,GMT-6:00
America/Indiana/Marengo,true,-300,GMT-5:00
America/Indiana/Petersburg,true,-300,GMT-5:00
America/Indiana/Tell_City,true,-360,GMT-6:00
America/Indiana/Vevay,true,-300,GMT-5:00
America/Indiana/Vincennes,true,-300,GMT-5:00
America/Indiana/Winamac,true,-300,GMT-5:00
America/Indianapolis,true,-300,GMT-5:00
America/Inuvik,true,-420,GMT-7:00
America/Iqaluit,true,-300,GMT-5:00
America/Jamaica,true,-300,GMT-5:00
America/Jujuy,true,-180,GMT-3:00
America/Juneau,true,-540,GMT-9:00
America/Kentucky/Louisville,true,-300,GMT-5:00
America/Kentucky/Monticello,true,-300,GMT-5:00
America/Knox_IN,true,-360,GMT-6:00
America/Kralendijk,true,-240,GMT-4:00
America/La_Paz,true,-240,GMT-4:00
America/Lima,true,-300,GMT-5:00
America/Los_Angeles,true,-480,GMT-8:00
America/Louisville,true,-300,GMT-5:00
America/Lower_Princes,true,-240,GMT-4:00
America/Maceio,true,-180,GMT-3:00
America/Managua,true,-360,GMT-6:00
America/Manaus,true,-240,GMT-4:00
America/Marigot,true,-240,GMT-4:00
America/Martinique,true,-240,GMT-4:00
America/Matamoros,true,-360,GMT-6:00
America/Mazatlan,true,-420,GMT-7:00
America/Mendoza,true,-180,GMT-3:00
America/Menominee,true,-360,GMT-6:00
America/Merida,true,-360,GMT-6:00
America/Metlakatla,true,-540,GMT-9:00
America/Mexico_City,true,-360,GMT-6:00
America/Miquelon,true,-180,GMT-3:00
America/Moncton,true,-240,GMT-4:00
America/Monterrey,true,-360,GMT-6:00
America/Montevideo,true,-180,GMT-3:00
America/Montreal,true,-300,GMT-5:00
America/Montserrat,true,-240,GMT-4:00
America/Nassau,true,-300,GMT-5:00
America/New_York,true,-300,GMT-5:00
America/Nipigon,true,-300,GMT-5:00
America/Nome,true,-540,GMT-9:00
America/Noronha,true,-120,GMT-2:00
America/North_Dakota/Beulah,true,-360,GMT-6:00
America/North_Dakota/Center,true,-360,GMT-6:00
America/North_Dakota/New_Salem,true,-360,GMT-6:00
America/Ojinaga,true,-420,GMT-7:00
America/Panama,true,-300,GMT-5:00
America/Pangnirtung,true,-300,GMT-5:00
America/Paramaribo,true,-180,GMT-3:00
America/Phoenix,true,-420,GMT-7:00
America/Port-au-Prince,true,-300,GMT-5:00
America/Porto_Acre,true,-300,GMT-5:00
America/Porto_Velho,true,-240,GMT-4:00
America/Port_of_Spain,true,-240,GMT-4:00
America/Puerto_Rico,true,-240,GMT-4:00
America/Rainy_River,true,-360,GMT-6:00
America/Rankin_Inlet,true,-360,GMT-6:00
America/Recife,true,-180,GMT-3:00
America/Regina,true,-360,GMT-6:00
America/Resolute,true,-360,GMT-6:00
America/Rio_Branco,true,-300,GMT-5:00
America/Rosario,true,-180,GMT-3:00
America/Santarem,true,-180,GMT-3:00
America/Santa_Isabel,true,-480,GMT-8:00
America/Santiago,true,-240,GMT-4:00
America/Santo_Domingo,true,-240,GMT-4:00
America/Sao_Paulo,true,-180,GMT-3:00
America/Scoresbysund,true,-60,GMT-1:00
America/Shiprock,true,-420,GMT-7:00
America/Sitka,true,-540,GMT-9:00
America/St_Barthelemy,true,-240,GMT-4:00
America/St_Johns,true,-150,GMT-3:30
America/St_Kitts,true,-240,GMT-4:00
America/St_Lucia,true,-240,GMT-4:00
America/St_Thomas,true,-240,GMT-4:00
America/St_Vincent,true,-240,GMT-4:00
America/Swift_Current,true,-360,GMT-6:00
America/Tegucigalpa,true,-360,GMT-6:00
America/Thule,true,-240,GMT-4:00
America/Thunder_Bay,true,-300,GMT-5:00
America/Tijuana,true,-480,GMT-8:00
America/Toronto,true,-300,GMT-5:00
America/Tortola,true,-240,GMT-4:00
America/Vancouver,true,-480,GMT-8:00
America/Virgin,true,-240,GMT-4:00
America/Whitehorse,true,-480,GMT-8:00
America/Winnipeg,true,-360,GMT-6:00
America/Yakutat,true,-540,GMT-9:00
America/Yellowknife,true,-420,GMT-7:00
Antarctica/Casey,true,660,GMT+11:00
Antarctica/Davis,true,420,GMT+7:00
Antarctica/DumontDUrville,true,600,GMT+10:00
Antarctica/Macquarie,true,660,GMT+11:00
Antarctica/Mawson,true,300,GMT+5:00
Antarctica/McMurdo,true,720,GMT+12:00
Antarctica/Palmer,true,-240,GMT-4:00
Antarctica/Rothera,true,-180,GMT-3:00
Antarctica/South_Pole,true,720,GMT+12:00
Antarctica/Syowa,true,180,GMT+3:00
Antarctica/Troll,true,0,GMT+0:00
Antarctica/Vostok,true,360,GMT+6:00
Arctic/Longyearbyen,true,60,GMT+1:00
ART,true,120,GMT+2:00
Asia/Aden,true,180,GMT+3:00
Asia/Almaty,true,360,GMT+6:00
Asia/Amman,true,120,GMT+2:00
Asia/Anadyr,true,720,GMT+12:00
Asia/Aqtau,true,300,GMT+5:00
Asia/Aqtobe,true,300,GMT+5:00
Asia/Ashgabat,true,300,GMT+5:00
Asia/Ashkhabad,true,300,GMT+5:00
Asia/Baghdad,true,180,GMT+3:00
Asia/Bahrain,true,180,GMT+3:00
Asia/Baku,true,240,GMT+4:00
Asia/Bangkok,true,420,GMT+7:00
Asia/Barnaul,true,420,GMT+7:00
Asia/Beirut,true,120,GMT+2:00
Asia/Bishkek,true,360,GMT+6:00
Asia/Brunei,true,480,GMT+8:00
Asia/Calcutta,true,330,GMT+5:30
Asia/Chita,true,540,GMT+9:00
Asia/Choibalsan,true,480,GMT+8:00
Asia/Chongqing,true,480,GMT+8:00
Asia/Chungking,true,480,GMT+8:00
Asia/Colombo,true,330,GMT+5:30
Asia/Dacca,true,360,GMT+6:00
Asia/Damascus,true,120,GMT+2:00
Asia/Dhaka,true,360,GMT+6:00
Asia/Dili,true,540,GMT+9:00
Asia/Dubai,true,240,GMT+4:00
Asia/Dushanbe,true,300,GMT+5:00
Asia/Famagusta,true,180,GMT+3:00
Asia/Gaza,true,120,GMT+2:00
Asia/Harbin,true,480,GMT+8:00
Asia/Hebron,true,120,GMT+2:00
Asia/Hong_Kong,true,480,GMT+8:00
Asia/Hovd,true,420,GMT+7:00
Asia/Ho_Chi_Minh,true,420,GMT+7:00
Asia/Irkutsk,true,480,GMT+8:00
Asia/Istanbul,true,180,GMT+3:00
Asia/Jakarta,true,420,GMT+7:00
Asia/Jayapura,true,540,GMT+9:00
Asia/Jerusalem,true,120,GMT+2:00
Asia/Kabul,true,270,GMT+4:30
Asia/Kamchatka,true,720,GMT+12:00
Asia/Karachi,true,300,GMT+5:00
Asia/Kashgar,true,360,GMT+6:00
Asia/Kathmandu,true,345,GMT+5:45
Asia/Katmandu,true,345,GMT+5:45
Asia/Khandyga,true,540,GMT+9:00
Asia/Kolkata,true,330,GMT+5:30
